/* Unit: gC/m2/yr */
Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17,,,
Europe,2010,646.45,1252.25,315.13,837.54,675.29,553.58,241.22,614.83,604.66,415.84,163.21,551.50,32.86,732.69,0.45,10.47,0.93,,,
Africa,2010,1199.01,1291.03,415.56,894.69,982.47,505.27,190.81,1103.98,816.30,382.80,104.44,418.56,97.05,650.10,13.46,0.64,0.24,,,
Australia,2010,1794.31,1941.68,2089.18,1270.15,1398.36,357.29,203.58,1119.53,909.09,581.62,252.23,655.30,83.99,1361.69,0.93,19.81,0.66,,,
E Asia,2010,853.65,1356.93,626.43,719.79,819.14,490.44,74.48,825.00,711.26,254.59,200.10,474.87,126.58,655.38,1.66,5.76,0.91,,,
N Asia,2010,535.67,0.00,497.19,645.05,610.23,367.23,212.25,480.18,340.97,194.30,54.01,431.61,25.74,527.93,2.01,14.36,25.45,,,
S Asia,2010,753.54,1216.64,191.45,657.22,677.59,444.18,41.60,897.85,598.36,251.39,58.11,327.24,30.27,598.37,1.55,10.81,1.07,,,
SE Asia,2010,772.38,1380.88,62.25,935.89,1083.40,974.17,436.68,975.92,807.97,692.32,205.18,552.37,100.04,789.19,46.21,57.79,1.05,,,
SW Asia,2010,878.53,1104.20,442.79,974.66,890.15,740.14,100.47,941.99,746.71,333.92,356.60,436.07,22.06,966.03,5.48,2.96,1.10,,,
Central Asia,2010,526.84,0.70,573.37,686.82,696.35,597.60,60.61,620.44,518.45,169.91,86.74,276.60,11.84,522.86,1.94,11.50,0.06,,,
Central America,2010,538.68,1502.01,0.00,1274.61,1563.39,750.79,424.83,1281.21,966.70,970.30,234.08,939.06,145.35,1049.96,0.00,88.64,0.08,,,
South America,2010,863.72,1362.68,438.86,808.33,760.31,760.95,231.43,1005.73,885.34,660.54,130.46,759.16,14.49,1056.44,2.55,33.62,1.29,,,
North America,2009,638.01,1392.26,570.21,961.28,749.11,502.95,204.77,601.40,401.57,200.13,80.16,582.42,60.25,821.57,1.78,13.18,10.61,,,
Europe,2009,653.19,1251.33,332.16,889.72,733.05,541.37,248.09,639.33,632.97,441.22,168.61,597.84,34.50,784.56,0.46,9.54,0.99,,,
Africa,2009,1163.06,1234.15,411.71,879.17,939.23,552.55,197.43,1115.23,785.08,354.83,100.08,378.82,94.53,601.98,6.70,0.65,0.18,,,
Australia,2009,1766.09,1956.05,2089.08,1198.73,1324.44,311.95,126.62,1001.31,806.70,440.17,250.45,583.41,78.67,1463.78,0.23,14.21,0.69,,,
E Asia,2009,970.23,1410.03,663.20,806.09,901.66,514.95,78.00,890.70,787.33,256.43,206.84,508.74,132.51,713.52,1.03,5.57,0.75,,,
N Asia,2009,568.83,0.00,515.05,666.83,622.13,368.81,219.38,504.52,366.09,192.74,56.99,473.09,27.16,557.38,1.77,13.52,22.00,,,
S Asia,2009,864.36,1321.58,360.50,597.21,657.36,394.22,29.20,918.86,553.77,226.89,59.97,285.19,26.35,603.25,1.20,9.86,1.25,,,
SE Asia,2009,919.40,1424.23,91.54,1067.79,1227.02,885.05,555.63,1071.05,919.20,761.38,209.40,641.84,105.30,869.57,30.99,66.62,0.80,,,
SW Asia,2009,936.85,1184.29,425.79,1074.99,985.52,646.98,96.38,1012.77,780.44,322.33,389.10,455.71,22.64,1016.24,3.80,2.97,1.03,,,
Central Asia,2009,591.48,0.73,607.66,704.80,707.04,598.44,75.66,620.73,553.14,203.01,103.36,352.43,12.87,568.69,1.72,13.29,0.09,,,
Central America,2009,516.03,1581.55,0.00,1276.35,1657.15,973.00,490.43,1351.65,985.73,1009.89,241.54,905.74,149.70,1030.88,0.00,78.60,0.08,,,
South America,2009,807.07,1399.33,378.88,757.68,733.50,905.97,214.47,1017.58,896.82,660.93,123.39,688.63,14.22,957.49,2.98,33.51,1.32,,,
