Continents/regions,year,modis_land1,modis_land2,modis_land3,modis_land4,modis_land5,modis_land6,modis_land7,modis_land8,modis_land9,modis_land10,modis_land11,modis_land12,modis_land13,modis_land14,modis_land15,modis_land16,modis_land17
E Asia,2014,9.17717E+13,3.20107E+15,1.16605E+13,4.90424E+14,4.47489E+14,2.42178E+12,7.55833E+11,1.63696E+15,8.97329E+14,8.15555E+14,2.16293E+13,9.39199E+14,2.9495E+13,2.78656E+14,35160668581,1.22578E+13,3.29866E+11
N Asia,2014,2.1481E+14,0,2.21128E+14,2.14083E+14,8.1876E+14,1.41257E+13,6.68884E+14,1.16796E+15,8.02637E+14,5.5975E+14,1.67382E+13,1.08603E+14,3.43046E+11,1.76597E+13,80135082837,8.06056E+12,5.75263E+12
S Asia,2014,2.66087E+13,1.86302E+14,1033153288,5.45678E+13,7.92748E+13,79304969697,1.12797E+13,1.78974E+14,1.3382E+14,1.53572E+14,1.60923E+12,7.08864E+14,1.41673E+12,5.02902E+13,48875510702,9.34798E+12,52218625546
SE Asia,2014,6.6704E+12,2.91864E+15,3459263956,7.34885E+13,1.11904E+14,6.07473E+11,72064525939,9.06816E+14,3.26159E+14,1.60544E+14,1.67515E+13,3.16582E+14,4.09032E+12,1.24226E+14,795166693.6,1.41226E+11,2.53558E+11
SW Asia,2014,1.92686E+13,5.55181E+11,902125622.5,4.5919E+13,1.60087E+13,1.95529E+11,3.48169E+13,5.97063E+13,5.64209E+13,2.95577E+14,1.71725E+12,1.74314E+14,9.24028E+11,5.78616E+12,2024464658,1.22634E+13,28226816240
Central Asia,2014,5.78261E+11,8337590.4,54232909419,7.26879E+11,5.20403E+12,2.35103E+11,4.41735E+12,5.12499E+12,5.11025E+12,4.85375E+14,6.73473E+11,6.5997E+13,1.98083E+11,1.68734E+11,69408922732,6.86721E+12,7802116039
Central America,2014,30394118546,2.44366E+14,97454333.52,6.00398E+12,2.20762E+12,88865007374,767694418.7,2.30318E+14,1.26212E+14,2.18382E+13,1.51856E+12,9.85781E+12,3.08552E+11,6.69554E+12,0,4239223690,1157419336
South America,2014,3.62924E+13,8.79963E+15,2806030505,2.48002E+14,5.44247E+13,3.90259E+13,2.04701E+14,9.65473E+14,3.15446E+15,2.40781E+15,1.92251E+13,5.292E+14,1.34771E+12,1.18453E+14,56179301979,2.38421E+13,2.4005E+11
North America,2014,8.33463E+14,3.03629E+14,3.90268E+12,8.89732E+14,7.22567E+14,1.29661E+13,5.24897E+14,2.07795E+15,1.12925E+15,1.09434E+15,4.0074E+13,1.1098E+15,9.99832E+12,1.20418E+14,3.46546E+11,9.55419E+12,5.62022E+12
Europe,2013,4.54439E+14,2.59516E+13,1.34216E+11,3.11968E+14,1.04901E+15,1.16677E+12,7.86634E+13,8.76976E+14,7.43151E+14,6.50771E+14,1.63726E+13,1.47784E+15,5.19686E+12,1.66202E+14,46645761422,9.24578E+11,1.69627E+11
Africa,2013,5.32239E+12,2.88074E+15,636198277.8,3.13766E+14,2.55845E+14,7.32844E+13,3.17562E+14,1.30995E+15,3.48885E+15,2.73153E+15,8.23708E+12,4.87809E+14,5.66284E+12,1.75296E+14,167124849.5,6.88061E+12,84266332730
Australia,2013,6.9297E+13,4.22316E+14,1620762493,1.47125E+12,9.08962E+12,8.9962E+13,4.55485E+14,1.4626E+14,4.8969E+14,7.41802E+14,2.77172E+12,1.84448E+14,9.17754E+11,1.45667E+12,0,1.14831E+12,12861096173
E Asia,2013,9.48793E+13,3.04231E+15,1.04645E+13,4.82703E+14,4.45532E+14,2.8249E+12,7.19076E+11,1.63474E+15,9.14273E+14,8.68473E+14,1.94562E+13,9.06856E+14,2.89536E+13,2.83762E+14,34926234876,1.3613E+13,2.7151E+11
N Asia,2013,2.12989E+14,0,2.21021E+14,2.0285E+14,7.93128E+14,1.3788E+13,7.39503E+14,1.09615E+15,7.88144E+14,5.65539E+14,1.7137E+13,1.19099E+14,3.49674E+11,1.61336E+13,73980216691,8.30564E+12,4.80328E+12
S Asia,2013,2.71204E+13,1.82705E+14,481675119.7,6.4085E+13,8.69452E+13,78053164069,1.38732E+13,1.84875E+14,1.43827E+14,1.68869E+14,1.55795E+12,8.11844E+14,1.52462E+12,5.08748E+13,60863465174,9.98073E+12,55108049365
SE Asia,2013,7.30051E+12,2.7575E+15,1848573478,7.15645E+13,1.08967E+14,5.50239E+11,62485688481,8.59488E+14,3.17336E+14,1.50701E+14,1.48657E+13,3.08932E+14,3.86558E+12,1.2162E+14,835296773.5,1.35027E+11,2.00593E+11
SW Asia,2013,1.90913E+13,5.71602E+11,982327930.8,5.17576E+13,1.73442E+13,2.34942E+11,3.85519E+13,6.34938E+13,5.93041E+13,3.28051E+14,1.70385E+12,1.93555E+14,9.72941E+11,5.81361E+12,1491541509,1.35618E+13,31198537391
Central Asia,2013,6.30669E+11,16995163.53,60526708572,7.5483E+11,5.60747E+12,2.76522E+11,8.77191E+12,5.06445E+12,5.58235E+12,5.95449E+14,7.94795E+11,7.30296E+13,2.30309E+11,1.35504E+11,82460666366,9.70069E+12,10782670857
Central America,2013,26446298302,2.28068E+14,129315338.8,6.24372E+12,2.08445E+12,75062680999,337291581.5,2.14282E+14,1.17957E+14,2.00048E+13,1.40835E+12,9.37267E+12,2.9366E+11,6.24501E+12,0,4441416517,1120711268
South America,2013,3.9584E+13,8.76562E+15,2283727016,2.00911E+14,6.11454E+13,3.12768E+13,1.83231E+14,9.53678E+14,3.10794E+15,2.33305E+15,1.80545E+13,4.95066E+14,1.33415E+12,1.19685E+14,75654832767,2.34766E+13,2.574E+11
North America,2013,8.00898E+14,3.0727E+14,3.8775E+12,8.12202E+14,7.41171E+14,1.22836E+13,5.18521E+14,1.99497E+15,1.12137E+15,1.05896E+15,3.90168E+13,1.02718E+15,9.69554E+12,1.17917E+14,3.64502E+11,9.27295E+12,5.15115E+12
Europe,2012,4.14609E+14,2.48512E+13,90188110617,2.81949E+14,1.03298E+15,1.09455E+12,5.72734E+13,7.84936E+14,6.96473E+14,6.03453E+14,1.36901E+13,1.40637E+15,4.99436E+12,1.62836E+14,58235267335,8.79507E+11,1.50127E+11
Africa,2012,4.39907E+12,2.67058E+15,898318592.1,3.22581E+14,2.43123E+14,7.66823E+13,3.1615E+14,1.27436E+15,3.46006E+15,2.98513E+15,7.98395E+12,5.36781E+14,5.43734E+12,1.69533E+14,145278833.3,6.18463E+12,55307120081
Australia,2012,7.13386E+13,4.28501E+14,774264889.3,1.16894E+12,8.69751E+12,1.13809E+14,6.86182E+14,1.52775E+14,5.07171E+14,9.54151E+14,2.88653E+12,1.75601E+14,9.2716E+11,1.44948E+12,-4987537.234,1.45482E+12,22118821051
E Asia,2012,8.70765E+13,3.02486E+15,1.03315E+13,4.58201E+14,4.08604E+14,3.25425E+12,6.48429E+11,1.52104E+15,8.42571E+14,8.35254E+14,1.90739E+13,9.15867E+14,2.83434E+13,2.59517E+14,82816419176,1.2596E+13,2.12172E+11
N Asia,2012,2.28637E+14,0,2.29968E+14,1.9478E+14,7.94596E+14,1.41927E+13,7.61788E+14,1.08435E+15,7.99159E+14,5.72074E+14,1.76034E+13,9.3613E+13,3.08383E+11,1.41128E+13,80471681201,9.02044E+12,5.09154E+12
