Continents/regions,year,mod_land1,mod_land2,mod_land3,mod_land4,mod_land5,mod_land6,mod_land7,mod_land8,mod_land9,mod_land10,mod_land12,mod_land14,
E Asia,2010,98220622375,2.32E+12,17028849160,5.89E+11,4.80E+11,6140509936,8528050244,1.79E+12,1.13E+12,3.06E+12,1.80E+12,3.72E+11,
N Asia,2010,3.94E+11,0,4.96E+11,3.07E+11,1.34E+12,40174076152,3.21E+12,2.13E+12,2.34E+12,2.74E+12,2.66E+11,36119355132,
S Asia,2010,33223014002,1.48E+11,863173.5781,89671797287,1.14E+11,185484198.6,2.72E+11,1.97E+11,2.12E+11,6.70E+11,2.24E+12,78815060264,
SE Asia,2010,8220834534,2.10E+12,4678726.544,69754887547,92268420091,738072937,128304642.7,8.00E+11,3.56E+11,1.95E+11,4.92E+11,1.48E+11,
SW Asia,2010,18007125413,484224759.5,1467974.977,45155569159,16455039097,474815838,3.39E+11,58521099719,74812798855,9.42E+11,4.10E+11,5170025353,
Central Asia,2010,1013010444,7768652.405,105139631.8,1196708165,8097114941,413566180.2,1.17E+11,7471146036,10919895685,2.82E+12,2.05E+11,141470604.6,
Central America,2010,51819450.19,1.60E+11,213982.3282,5102927822,1297443971,115066271,738221.9063,1.66E+11,1.25E+11,21728308333,10080939212,6334902024,
South America,2010,40596656382,6.26E+12,5882922.677,3.25E+11,70773886607,53989490304,8.36E+11,9.39E+11,3.61E+12,3.66E+12,6.74E+11,1.20E+11,
North America,2009,1.21E+12,2.16E+11,5157624263,9.18E+11,8.98E+11,28680970026,2.25E+12,3.26E+12,2.60E+12,5.41E+12,1.97E+12,1.48E+11,
Europe,2009,6.37E+11,19909543115,246224404.2,3.63E+11,1.39E+12,2808686982,2.38E+11,1.28E+12,1.21E+12,1.40E+12,2.48E+12,2.22E+11,
Africa,2009,3928687843,2.23E+12,1699946.731,3.86E+11,2.49E+11,1.65E+11,1.78E+12,1.16E+12,4.25E+12,7.73E+12,1.30E+12,2.71E+11,
Australia,2009,35988756823,2.06E+11,387256.5248,812694357.9,5740686297,2.79E+11,4.08E+12,1.38E+11,5.26E+11,1.92E+12,2.80E+11,804777206.6,
E Asia,2009,97432120255,2.32E+12,16429507758,5.76E+11,4.79E+11,6009023708,8250423025,1.79E+12,1.13E+12,3.06E+12,1.79E+12,3.76E+11,
N Asia,2009,3.93E+11,0,4.84E+11,3.00E+11,1.34E+12,39341840583,3.20E+12,2.11E+12,2.37E+12,2.75E+12,2.69E+11,37488931183,
S Asia,2009,33238969260,1.49E+11,429546.7031,86889061810,1.12E+11,213201266.1,2.75E+11,1.97E+11,2.13E+11,6.78E+11,2.22E+12,79754739204,
SE Asia,2009,8223716167,2.11E+12,5880034.048,69512020743,92428528654,741727774,128680878.7,7.87E+11,3.56E+11,1.95E+11,4.90E+11,1.52E+11,
SW Asia,2009,17438777116,477405097.2,1279456.196,45148904002,16229315331,483872426.6,3.37E+11,58503734320,75142181610,9.44E+11,4.05E+11,5041805865,
Central Asia,2009,1050076526,7768652.405,101626844.3,1225065181,8048069032,317921344.7,1.14E+11,7539776126,11297277123,2.82E+12,2.11E+11,146771374.5,
Central America,2009,49986669.7,1.62E+11,0,4911315123,1350657878,140862832.6,738221.9063,1.64E+11,1.26E+11,21887404524,10273885626,6232516035,
South America,2009,40301388395,6.27E+12,9282120.391,3.35E+11,71513693149,55713104363,8.47E+11,9.34E+11,3.59E+12,3.66E+12,6.58E+11,1.19E+11,
North America,2008,1.19E+12,2.21E+11,4925859059,9.14E+11,8.89E+11,30319529944,2.22E+12,3.28E+12,2.60E+12,5.44E+12,1.97E+12,1.45E+11,
Europe,2008,6.42E+11,19894250830,236880129.7,3.68E+11,1.39E+12,2998179547,2.37E+11,1.28E+12,1.21E+12,1.39E+12,2.48E+12,2.21E+11,
Africa,2008,3780506042,2.23E+12,1954120.122,3.84E+11,2.39E+11,1.69E+11,1.80E+12,1.16E+12,4.26E+12,7.71E+12,1.30E+12,2.70E+11,
Australia,2008,35352458276,2.03E+11,197327.7969,745785704.8,5337363529,2.76E+11,4.12E+12,1.37E+11,5.09E+11,1.90E+12,2.76E+11,779437948.8,
E Asia,2008,96629797807,2.33E+12,15686394178,5.67E+11,4.80E+11,5743368812,7986913777,1.79E+12,1.13E+12,3.06E+12,1.80E+12,3.77E+11,
N Asia,2008,3.92E+11,0,4.73E+11,2.91E+11,1.34E+12,39022604762,3.19E+12,2.10E+12,2.40E+12,2.74E+12,2.71E+11,35719778771,
S Asia,2008,33230758946,1.51E+11,422703.0781,81350934431,1.12E+11,227582414.2,2.73E+11,1.99E+11,2.16E+11,6.78E+11,2.21E+12,80565841471,
SE Asia,2008,8215422999,2.13E+12,5698626.374,69700698625,93466743238,702519168.4,146741944.6,7.74E+11,3.55E+11,1.91E+11,4.91E+11,1.53E+11,
SW Asia,2008,16700325741,440092924.9,2006510.509,44558717312,15941845162,464343761.3,3.36E+11,58808157530,75374824143,9.52E+11,3.98E+11,4892564012,
Central Asia,2008,1078142179,7768652.405,102054871.3,1237229408,8057432099,258851453.5,1.11E+11,7431536295,11425190938,2.82E+12,2.14E+11,135180734.2,
Central America,2008,49774646.3,1.65E+11,0,4900245815,1364709720,157248099,737878.5938,1.61E+11,1.26E+11,21337940844,10385477517,6268615738,
South America,2008,39767626824,6.28E+12,9063086.234,3.50E+11,72938341973,57762880547,8.51E+11,9.25E+11,3.56E+12,3.67E+12,6.56E+11,1.17E+11,
North America,2007,1.18E+12,2.24E+11,4589220161,9.08E+11,8.82E+11,31728874239,2.21E+12,3.31E+12,2.61E+12,5.43E+12,1.97E+12,1.39E+11,
Europe,2007,6.46E+11,19815598803,289413171.2,3.69E+11,1.39E+12,3348785298,2.35E+11,1.28E+12,1.21E+12,1.39E+12,2.48E+12,2.19E+11,
Africa,2007,3671383357,2.24E+12,2450356.294,3.82E+11,2.32E+11,1.73E+11,1.80E+12,1.16E+12,4.26E+12,7.71E+12,1.29E+12,2.70E+11,
Australia,2007,34426665922,1.98E+11,197327.7969,745225723.3,5294628900,2.80E+11,4.13E+12,1.38E+11,4.94E+11,1.90E+12,2.74E+11,728884937.7,
E Asia,2007,95842131560,2.35E+12,15063158629,5.66E+11,4.83E+11,5611013473,7955218379,1.77E+12,1.12E+12,3.06E+12,1.81E+12,3.74E+11,
N Asia,2007,3.91E+11,0,4.66E+11,2.85E+11,1.35E+12,38014432808,3.18E+12,2.09E+12,2.43E+12,2.73E+12,2.69E+11,33715728130,
S Asia,2007,32916923550,1.52E+11,1049879.828,80938269380,1.11E+11,245973155.8,2.71E+11,1.98E+11,2.17E+11,6.77E+11,2.21E+12,80657522343,
SE Asia,2007,8235898273,2.15E+12,5773659.986,72432288554,94809464903,665560338.3,154481775.4,7.53E+11,3.52E+11,1.86E+11,4.95E+11,1.52E+11,
SW Asia,2007,16196465353,427966537.8,2006510.509,44934240525,15753695178,489996265.2,3.33E+11,58600496086,74493641513,9.57E+11,4.03E+11,4758567095,
Central Asia,2007,1103346712,7768652.405,120211107.2,1419459076,8199117893,273119335.6,1.06E+11,7301513873,11615828834,2.83E+12,2.19E+11,156721155,
Central America,2007,50730607.63,1.70E+11,242142.0781,4970053493,1391187043,122736322.9,1967593.328,1.56E+11,1.26E+11,20786200763,10456365031,6191838662,
South America,2007,39427203761,6.30E+12,9433503.109,3.56E+11,72813916642,59782610620,8.54E+11,9.12E+11,3.56E+12,3.66E+12,6.46E+11,1.16E+11,
North America,2006,1.17E+12,2.22E+11,4220252589,9.16E+11,8.80E+11,32704325931,2.21E+12,3.32E+12,2.61E+12,5.43E+12,1.96E+12,1.35E+11,
Europe,2006,6.40E+11,19757820229,317223641.2,3.66E+11,1.38E+12,3776456723,2.35E+11,1.29E+12,1.22E+12,1.38E+12,2.49E+12,2.19E+11,
Africa,2006,3492613508,2.25E+12,4932440.684,3.76E+11,2.21E+11,1.75E+11,1.78E+12,1.17E+12,4.26E+12,7.73E+12,1.29E+12,2.65E+11,
